Windmill,Wind Speed (m/s),Power output (MW)
a1,1.096875,0
a2,1.231527778,0
a3,1.275138889,0.005479167
a4,1.365486111,0.010104167
a5,1.387777778,0.0108125
a6,1.550138889,0.000145833
a7,1.563611111,0
a8,1.60625,0
a9,1.680138889,0.052520833
a10,1.735069444,0.354645833
a11,1.760138889,0.122479167
a12,1.781319444,0.0431875
a13,1.810902778,0.279791667
a14,1.811666667,0.015479167
a15,1.827152778,0.051541667
a16,1.839930556,0
a17,1.877430556,0.094416667
a18,1.890277778,0.006625
a19,1.928958333,0.121416667
a20,2.0025,0.252208333
a21,2.009513889,0.160041667
a22,2.048958333,0.110333333
a23,2.059861111,0.164229167
a24,2.068680556,0.1435
a25,2.075763889,0.06
a26,2.080625,0.003229167
a27,2.110763889,0.0485
a28,2.126736111,0.318479167
a29,2.177222222,0.2255625
a30,2.217986111,0.697895833
a31,2.234097222,0.709354167
a32,2.313958333,0.012354167
a33,2.321111111,0.176854167
a34,2.352777778,0.221083333
a35,2.354583333,0.140083333
a36,2.530138889,0.1686875
a37,2.543402778,0.319125
a38,2.567708333,0.260666667
a39,2.608958333,0.430583333
a40,2.623611111,0.389583333
a41,2.660486111,0.229770833
a42,2.683333333,0.192541667
a43,2.734583333,0.156625
a44,2.740486111,0.333166667
a45,2.789027778,0.287416667
a46,2.828194444,0.4788125
a47,2.923958333,0.472145833
a48,2.997361111,0.295604167
a49,3.059583333,0.489291667
a50,3.0675,0.518604167
a51,3.083402778,0.879666667
a52,3.088680556,0.406166667
a53,3.120347222,0.462979167
a54,3.130694444,0.828041667
a55,3.171944444,0.3168125
a56,3.210763889,0.5851875
a57,3.230138889,1.303041667
a58,3.253888889,0.4905625
a59,3.280555556,0.448104167
a60,3.299513889,0.863770833
a61,3.308611111,0.786708333
a62,3.349583333,1.2425625
a63,3.36125,0.947354167
a64,3.38625,0.648583333
a65,3.453611111,1.020479167
a66,3.474097222,0.9190625
a67,3.474791667,1.445083333
a68,3.482708333,1.114166667
a69,3.545138889,1.320958333
a70,3.603680556,2.6239375
a71,3.613888889,1.475520833
a72,3.643541667,1.373291667
a73,3.652916667,1.01575
a74,3.657291667,0.912875
a75,3.667430556,0.712666667
a76,3.669236111,1.0626875
a77,3.696458333,1.328791667
a78,3.697083333,1.718979167
a79,3.718472222,1.091875
a80,3.836944444,1.002645833
a81,3.838958333,1.352541667
a82,3.850833333,1.3155
a83,3.8525,0.675291667
a84,3.863611111,1.577979167
a85,3.873611111,4.181291667
a86,3.916319444,1.2563125
a87,3.987986111,1.4145625
a88,4.019791667,1.405
a89,4.078680556,1.2713125
a90,4.217847222,3.181833333
a91,4.229375,1.3531875
a92,4.235347222,2.470666667
a93,4.292430556,2.853791667
a94,4.324166667,3.857166667
a95,4.394097222,1.638833333
a96,4.419930556,1.960583333
a97,4.458194444,1.657208333
a98,4.4825,1.766604167
a99,4.545763889,2.4241875
a100,4.610486111,2.378791667
a101,4.668333333,1.859270833
a102,4.695902778,2.842979167
a103,4.699375,2.8730625
a104,4.736180556,3.382604167
a105,4.751805556,2.613458333
a106,4.810694444,4.583041667
a107,4.812777778,3.617708333
a108,4.818958333,2.949833333
a109,4.850486111,3.215791667
a110,4.868333333,3.224895833
a111,4.882222222,2.300958333
a112,4.938958333,3.798041667
