country,population,x,y
India,1350000000,-20729.648968280,0
Madagascar,26300000,2893.363096231,0
Botswana,2330000,650.237746508,-3010.833416751
Dominican Republic,10900000,1406.395490766,4517.618373449
Jamaica,2900000,4096.903552998,3661.408366542
Uganda,44300000,8778.478779260,3093.234240555
Russia,144000000,9074.827014713,-7428.014884824
Bangladesh,166000000,350.244662424,-18427.332658120
Cote d'Ivoire,24900000,954.614348407,9173.732266276
Samoa,198000,2315.438678255,6425.887178407
Lesotho,2260000,3411.446051472,6342.020472852
Antigua and Barbuda,103000,3285.842485164,5320.481571251
Kiribati,118000,3412.995311086,4967.830318693
Vanuatu,282000,3902.608229356,4906.728107156
Egypt,99400000,8723.236658748,12473.163115943
Mozambique,30500000,-1759.268842238,14447.559155572
China,1420000000,2067.289282593,38521.471015365
Albania,2930000,11854.917027924,6674.054287607
Brazil,211000000,20677.090418393,4205.380166970
Croatia,4160000,12427.108856694,-186.259924932
Ecuador,16900000,18047.611469466,-5975.214771690
Denmark,5750000,16935.809520084,-9475.107101209
South Africa,57400000,17018.285699792,-15101.839328145
Lao,6960000,11262.685781553,-15391.654388909
"Micronesia, Fed. Sts.",106000,9976.380321253,-14323.287661794
Azerbaijan,9920000,9389.075476687,-18066.064877656
Argentina,44700000,17529.834081943,15751.512834279
Japan,127000000,-23028.542492731,26990.014665205
Cambodia,16200000,18532.647122324,21710.605075254
Maldives,444000,7901.304358364,-19622.202827712
Palestine,5050000,8431.888893465,-21178.013733940
Netherlands,17100000,7630.212518083,-24688.543668195
Kazakhstan,18400000,3787.666100793,-27486.267696096
Sweden,9980000,-414.587341467,-27446.374538315
France,65200000,-6736.810279267,-27892.922308928
Bhutan,817000,-6030.640205463,-22876.791332024
Guatemala,17200000,-8813.689840739,-21317.637490325
Somalia,15200000,-13336.629987442,-21704.710535785
United States,327000000,30923.657051413,-11074.714378385
Estonia,1310000,12527.006577486,-17111.018297992
Georgia,3910000,12176.966813777,-18837.242866685
Hungary,9690000,11425.137997878,-21608.950458705
Venezuela,32400000,-18317.405691752,-23819.236531690
Ethiopia,108000000,-27173.148640462,-25800.436651208
Peru,32600000,-34072.328196336,-19890.244434322
Namibia,2590000,-35339.794290381,-15960.279449046
Lebanon,6090000,-37262.855546660,-14698.089405801
United Kingdom,66600000,-42810.019570323,-12420.363670345
Eritrea,5190000,-41721.860456132,-6632.163054621
Tunisia,11700000,-43081.875425451,-3718.836684416
Costa Rica,4950000,-42707.512640952,-555.846030385
Senegal,16300000,-43556.958154665,2873.578652188
Marshall Islands,53200,-41271.068622409,3630.495878813
Comoros,832000,-41446.898543772,4702.609633308
Sierra Leone,7720000,-41992.662751928,6712.027141274
Slovenia,2080000,-40497.149415994,8565.115207338
Nigeria,196000000,-44138.972836906,16479.784481967
Guyana,782000,-35901.427842447,14848.203446556
Gabon,2070000,-35201.352119010,15956.212151119
Belgium,11500000,-33954.704957894,18379.314976411
Pakistan,201000000,-36913.587329181,30640.357604043
Ukraine,44000000,25031.932790484,15320.456512337
Germany,82300000,32434.76084535,10451.147921177
Canada,37000000,34357.326013044,2119.981419823
St. Vincent and the Grenadines,110000,13260.078967218,-17506.327032220
Greece,11100000,14993.956483722,-20913.520721927
Andorra,77000,21446.582627769,-15256.983743525
Uruguay,3470000,21735.897619484,-17572.528130686
Jordan,9900000,20445.636739574,-20086.956437673
Togo,7990000,18087.791894701,-22494.683120951
Mauritius,1270000,10462.610197266,-23798.813504930
Mali,19100000,-13718.515421463,-27147.905328658
Austria,8750000,21966.933409817,19780.053717717
Vietnam,96500000,14446.529268208,-28632.985560555
Bahrain,1570000,8273.583057288,-27659.655815195
Saudi Arabia,33600000,6517.512699134,-32479.186776541
Libya,6470000,1123.204097462,-30272.503758666
Zambia,17600000,-1780.965321144,-32726.264343805
Chad,15400000,1905.036320913,-35446.278252545
Montenegro,629000,23065.764115875,-18262.985933027
"Congo, Rep.",5400000,23529.235708577,-19959.324980526
Zimbabwe,16900000,21520.233159607,25195.441915273
Seychelles,95200,20700.794555636,22840.498291590
Panama,4160000,23341.679920586,22241.828145644
Honduras,9420000,22597.574118872,-22855.848134346
Serbia,8760000,21130.905685722,-25924.857175726
Moldova,4040000,-5220.889860687,-33376.899388386
Kuwait,4200000,-7504.361481547,-33552.995306737
Burkina Faso,19800000,-11167.777998093,-33397.154354505
El Salvador,6410000,-14292.824673266,-30999.445161767
Timor-Leste,1320000,24280.165663195,19646.233264307
Tonga,109000,25014.076414475,19249.094277037
