default,student,balance,income,prob,row
No,No,729.5264952072858,44361.62507426687,9.973468985856263e-4,1
No,Yes,817.1804065554977,12106.134700314931,8.051600722055077e-4,2
No,No,1073.549164011728,31767.138947399937,0.008572704058302603,3
No,No,529.2506047452785,35704.4939350781,3.1522159848834663e-4,4
No,No,785.655882930501,38463.49587872287,0.001453804495373659,5
No,Yes,919.5885304744999,7491.5585718274615,0.0015385496276244847,6
No,No,825.5133305172009,24905.226577523485,0.002019101485850071,7
No,Yes,808.667504297266,17600.451343586858,7.379551926405755e-4,8
No,No,1161.0578540313222,37468.529287537516,0.013932495104654689,9
No,No,0,29275.2682931678,1.3472822038402527e-5,10
No,Yes,0,21871.07308927755,5.4478097256122415e-6,11
No,Yes,1220.5837530037688,13268.562220926113,0.009048300269416372,12
No,No,237.04511397747194,28251.695344963136,5.672629375128637e-5,13
No,No,606.7423433024643,44994.5558492173,4.73572058029124e-4,14
No,No,1112.9684006330453,23810.174050036047,0.011422212690577402,15
No,No,286.23256013922395,45042.413035885525,6.841757576128197e-5,16
No,No,0,50265.312353598536,1.1748998323266762e-5,17
No,Yes,527.540184074571,17636.539617293645,1.35262415668293e-4,18
No,No,485.9368641717292,61566.10611780103,2.0504678101442651e-4,19
No,No,1095.0727352873976,26464.631389229016,0.010090202510966071,20
No,No,228.95254964257242,50500.182197744136,4.672504783191019e-5,21
No,No,954.2617927735455,32457.509075075443,0.004172131509430304,22
No,No,1055.956604729044,51317.8830823874,0.0067981676785372905,23
No,No,641.9843888480208,30466.103257481387,6.439593504598272e-4,24
No,No,773.211724534176,34353.31430500384,0.0013853346119583867,25
No,No,855.0085225256915,25211.33216145394,0.002406843356976824,26
No,No,642.9997385154295,41473.511801018685,6.030556985251906e-4,27
No,No,1454.8632724840368,32189.094952317842,0.07932893019740439,28
No,No,615.7042765604052,39376.3946187014,5.185325088889817e-4,29
No,Yes,1119.569353328648,16556.070205351072,0.004833648415923246,30
No,No,494.8162288073257,54384.78283613857,2.2670677826648343e-4,31
No,Yes,448.8806562560393,15799.470409795575,8.515034343818098e-5,32
No,Yes,584.90489468245,22429.935046216757,1.8533879018468874e-4,33
No,No,913.587172608928,46907.22540286232,0.0029738199792551266,34
No,Yes,1423.9389166408805,22634.4880875812,0.02848114108685056,35
No,Yes,1499.724656559734,13190.652716410255,0.04695207440159354,36
No,No,692.034167065432,47806.61177289631,7.778429914453691e-4,37
No,No,351.45347152300985,35087.48864808582,1.0822683315811129e-4,38
No,No,742.6276207855974,37864.82393889518,0.0011260044970675873,39
No,No,653.1184001233884,39489.59470286126,6.493585380986252e-4,40
No,No,872.1386795384769,41787.56726890118,0.002395555447893011,41
No,No,837.2626227541713,51471.77209463774,0.0018230171932378527,42
No,No,1151.6305660826529,42917.46956362817,0.01271784267630635,43
No,Yes,220.55560838643976,16872.947555781422,2.131027004780957e-5,44
No,Yes,1690.234410387009,19052.572224695494,0.13024953975776415,45
No,No,408.7729143051852,54206.939212017904,1.3503121153683297e-4,46
No,No,1238.610321241124,50066.6805336538,0.02036175790136735,47
No,No,1228.3083503533583,37408.50386850756,0.020772181452531093,48
No,No,820.9192041461837,47746.542073101606,0.0016925968394989044,49
No,No,857.4851177765004,31688.345973891915,0.002342185373092266,50
No,No,563.6181771823624,42641.253266646025,3.7071592828989e-4,51
No,Yes,1282.9725335957778,13120.63646960268,0.013144604221307487,52
No,Yes,1505.7826748288405,26557.141445880814,0.04473845627038479,53
No,Yes,904.0402590668128,16882.300605653527,0.001317784893273671,54
No,No,0,49956.58057190597,1.1772680987381513e-5,55
No,Yes,1294.4973466731021,10464.320731923122,0.01432082188234502,56
No,Yes,1275.550632723641,15887.468486777369,0.012353792323963633,57
No,No,1536.5946009725167,48766.90745756152,0.1124201309267539,58
No,No,1332.5226438669488,39143.13706901777,0.03785613341343428,59
